time,Core_MSCI_World_ex_Australia_ESG_Leaders_Volume,Edge_MSCI_World_Multifactor_Volume,Global_100_Volume,Global_Healthcare_Volume,SP_500_Volume,volume,Core_MSCI_World_ex_Australia_ESG_Leaders_Costs,Edge_MSCI_World_Multifactor_Costs,Global_100_Costs,Global_Healthcare_Costs,SP_500_Costs,close
8-Feb-18,"680,778.00","841,802.00","39,400,000.00","29,000,000.00","559,050,000.00","125,794,516.00",30.22,29.71,57.44,70.45,332.97,104.158
9-Feb-18,"680,778.00","841,802.00","39,400,000.00","29,000,000.00","557,900,000.00","125,564,516.00",30.51,29.79,57.58,70.79,337.83,105.3
12-Feb-18,"680,778.00","841,802.00","39,400,000.00","28,700,000.00","558,800,000.00","125,684,516.00",30.83,30.02,58.34,71.35,341.47,106.402
13-Feb-18,"680,778.00","841,802.00","39,400,000.00","28,700,000.00","559,950,000.00","125,914,516.00",30.71,30,58.22,71.07,340.94,106.188
14-Feb-18,"680,778.00","841,802.00","39,400,000.00","28,500,000.00","561,550,000.00","126,194,516.00",31.1,30.33,58.72,71.76,344.64,107.31
15-Feb-18,"680,778.00","841,802.00","39,400,000.00","28,500,000.00","561,100,000.00","126,104,516.00",31.33,30.6,59.39,72.41,348.07,108.36
16-Feb-18,"680,778.00","841,802.00","39,400,000.00","28,500,000.00","561,100,000.00","126,104,516.00",31.29,30.63,59.36,72.79,347.14,108.242
20-Feb-18,"680,778.00","841,802.00","39,400,000.00","28,500,000.00","560,200,000.00","125,924,516.00",31.17,30.66,59.12,72.25,346.22,107.884
21-Feb-18,"680,778.00","841,802.00","39,400,000.00","28,500,000.00","560,350,000.00","125,954,516.00",31.26,30.8,59.31,72.46,346.74,108.114
22-Feb-18,"680,778.00","841,802.00","39,400,000.00","28,300,000.00","561,200,000.00","126,084,516.00",31.3,30.71,59.38,72.42,346.78,108.118
23-Feb-18,"680,778.00","841,802.00","39,400,000.00","28,300,000.00","562,450,000.00","126,334,516.00",31.82,31.13,60.26,73.44,353.66,110.062
26-Feb-18,"680,778.00","841,802.00","39,400,000.00","28,300,000.00","563,200,000.00","126,484,516.00",32.05,31.3,60.8,74.15,357.11,111.082
27-Feb-18,"680,778.00","841,802.00","39,400,000.00","28,300,000.00","563,550,000.00","126,554,516.00",31.76,31.23,60.52,73.84,354.02,110.274
28-Feb-18,"680,778.00","841,802.00","39,400,000.00","28,300,000.00","565,250,000.00","126,894,516.00",31.45,31.02,59.97,72.9,350.85,109.238
1-Mar-18,"680,778.00","841,802.00","39,400,000.00","28,300,000.00","566,050,000.00","127,054,516.00",31.23,30.78,59.47,72.26,348.28,108.404
2-Mar-18,"680,778.00","841,802.00","39,400,000.00","28,300,000.00","566,400,000.00","127,124,516.00",31.42,30.83,59.37,72.67,350.17,108.892
5-Mar-18,"680,778.00","841,802.00","39,400,000.00","28,300,000.00","566,800,000.00","127,204,516.00",31.67,31,59.89,73.35,353.85,109.952
6-Mar-18,"680,778.00","921,802.00","39,400,000.00","28,300,000.00","566,600,000.00","127,180,516.00",31.57,31.07,59.64,72.81,351.8,109.378
7-Mar-18,"680,778.00","921,802.00","39,400,000.00","28,300,000.00","567,300,000.00","127,320,516.00",31.58,31.08,59.68,73.15,351.93,109.484
8-Mar-18,"680,778.00","921,802.00","39,400,000.00","28,300,000.00","570,050,000.00","127,870,516.00",31.81,31.23,60.26,73.93,354.87,110.42
9-Mar-18,"680,778.00","921,802.00","39,400,000.00","28,300,000.00","568,750,000.00","127,610,516.00",31.98,31.36,60.57,74.14,358.51,111.312
12-Mar-18,"680,778.00","921,802.00","39,400,000.00","28,200,000.00","570,350,000.00","127,910,516.00",31.9,31.35,60.53,73.79,356.78,110.87
13-Mar-18,"680,778.00","921,802.00","39,400,000.00","28,200,000.00","570,700,000.00","127,980,516.00",31.63,31.19,60.03,73.65,353.79,110.058
14-Mar-18,"720,778.00","921,802.00","39,400,000.00","28,200,000.00","570,600,000.00","127,968,516.00",31.58,31.07,59.72,73.34,352.06,109.554
15-Mar-18,"720,778.00","921,802.00","39,400,000.00","28,200,000.00","570,900,000.00","128,028,516.00",31.78,31.32,60.24,73.86,354.55,110.35
16-Mar-18,"720,778.00","921,802.00","39,400,000.00","28,100,000.00","570,500,000.00","127,928,516.00",32.13,31.66,60.91,74.66,358.88,111.648
19-Mar-18,"720,778.00","921,802.00","39,400,000.00","28,100,000.00","568,650,000.00","127,558,516.00",31.91,31.57,60.36,73.99,355.19,110.604
20-Mar-18,"720,778.00","921,802.00","39,400,000.00","28,100,000.00","561,250,000.00","126,078,516.00",31.99,31.72,60.58,74.02,356.28,110.918
21-Mar-18,"720,778.00","921,802.00","39,400,000.00","28,100,000.00","546,650,000.00","123,158,516.00",31.95,31.69,60.29,73.65,354.92,110.5
22-Mar-18,"720,778.00","921,802.00","39,100,000.00","28,100,000.00","546,850,000.00","123,138,516.00",31.31,31.2,59.26,72.24,345.01,107.804
23-Mar-18,"720,778.00","921,802.00","39,100,000.00","28,100,000.00","528,700,000.00","119,508,516.00",30.66,30.45,57.94,70.71,336.51,105.254
26-Mar-18,"720,451.50","921,802.00","39,100,000.00","28,100,000.00","528,800,000.00","119,528,450.70",31.38,30.97,59.19,71.68,346.01,107.846
27-Mar-18,"720,447.00","921,802.00","39,100,000.00","28,100,000.00","528,150,000.00","119,398,449.80",30.99,30.82,58.76,71.48,340.3,106.47
28-Mar-18,"720,733.58","921,802.00","39,100,000.00","28,200,000.00","529,150,000.00","119,618,507.12",31.15,30.8,58.91,72.35,341.13,106.868
29-Mar-18,"720,778.00","921,802.00","39,100,000.00","28,200,000.00","528,900,000.00","119,568,516.00",31.53,31.12,59.36,72.48,345.75,108.048
2-Apr-18,0,0,"39,100,000.00","28,200,000.00","529,150,000.00","119,290,000.00",0,0,58.55,71.51,338.25,93.662
3-Apr-18,"720,770.16","921,802.00","39,100,000.00","28,200,000.00","529,950,000.00","119,778,514.43",31.22,30.87,58.8,71.92,342.09,106.98
4-Apr-18,"720,770.30","921,802.00","39,100,000.00","28,100,000.00","529,850,000.00","119,738,514.46",31.36,30.89,59.1,72.38,344.97,107.74
5-Apr-18,"720,767.63","921,802.00","39,100,000.00","28,100,000.00","530,350,000.00","119,838,513.93",31.66,31.12,59.9,72.9,348.04,108.724
6-Apr-18,"720,778.00","921,802.00","39,100,000.00","28,100,000.00","530,350,000.00","119,838,516.00",31.17,30.77,59.08,71.71,340.55,106.656
9-Apr-18,"720,767.44","1,001,802.00","39,100,000.00","28,100,000.00","530,800,000.00","119,944,513.89",31.3,30.81,59.35,72.22,341.39,107.014
10-Apr-18,"720,767.46","1,001,802.00","39,100,000.00","28,100,000.00","531,700,000.00","120,124,513.89",31.5,31.02,59.79,72.68,344.28,107.854
11-Apr-18,"720,767.39","1,001,802.00","39,100,000.00","28,100,000.00","528,800,000.00","119,544,513.88",31.3,30.89,59.42,71.92,341.69,107.044
12-Apr-18,"720,765.42","1,001,802.00","39,100,000.00","28,100,000.00","528,300,000.00","119,444,513.48",31.55,31.07,59.9,72.41,345.06,107.998
13-Apr-18,"720,778.00","1,001,802.00","39,100,000.00","28,100,000.00","528,400,000.00","119,464,516.00",31.43,31,59.74,72.13,343.39,107.538
16-Apr-18,"720,772.92","1,001,802.00","39,100,000.00","27,900,000.00","527,900,000.00","119,324,514.98",31.6,31.19,59.97,72.56,346.09,108.282
17-Apr-18,"720,765.46","1,001,802.00","39,100,000.00","27,900,000.00","527,650,000.00","119,274,513.49",31.9,31.44,60.53,73.14,350,109.402
18-Apr-18,"720,778.00","1,001,802.00","39,100,000.00","27,900,000.00","527,900,000.00","119,324,516.00",31.91,31.53,60.48,73.03,349.44,109.278
19-Apr-18,"720,778.00","1,001,802.00","39,100,000.00","27,900,000.00","528,650,000.00","119,474,516.00",31.82,31.42,60.41,72.66,348.24,108.91
20-Apr-18,"800,778.00","1,001,802.00","39,100,000.00","27,900,000.00","528,650,000.00","119,490,516.00",32,31.61,60.54,73.02,349.74,109.382
23-Apr-18,"800,778.00","1,001,802.00","39,100,000.00","27,900,000.00","528,600,000.00","119,480,516.00",32.22,31.78,60.94,73.7,352.38,110.204
24-Apr-18,"800,778.00","1,001,802.00","39,100,000.00","27,800,000.00","535,450,000.00","120,830,516.00",32.04,31.68,60.51,73.54,348.77,109.308
25-Apr-18,0,0,"39,100,000.00","27,800,000.00","534,700,000.00","120,320,000.00",0,0,60.53,73.84,350.89,97.052
26-Apr-18,"800,778.00","1,641,802.00","39,100,000.00","27,800,000.00","535,550,000.00","120,978,516.00",32.45,31.86,61.16,74.63,354.83,110.986
27-Apr-18,"800,778.00","1,641,802.00","39,100,000.00","27,700,000.00","535,700,000.00","120,988,516.00",32.41,31.76,61.17,74.87,354.64,110.97
30-Apr-18,"800,778.00","1,641,802.00","39,100,000.00","27,700,000.00","535,800,000.00","121,008,516.00",32.29,31.66,61.14,74.31,352.67,110.414
1-May-18,"800,778.00","1,641,802.00","39,100,000.00","27,700,000.00","534,800,000.00","120,808,516.00",32.61,31.91,61.67,74.91,356.84,111.588
2-May-18,"800,778.00","1,641,802.00","39,100,000.00","27,700,000.00","536,050,000.00","121,058,516.00",32.43,31.78,61.38,74.08,353.51,110.636
3-May-18,"800,778.00","1,641,802.00","39,100,000.00","27,600,000.00","533,000,000.00","120,428,516.00",32.37,31.77,61.18,73.49,352.38,110.238
4-May-18,"800,778.00","1,641,802.00","39,050,000.00","27,600,000.00","545,900,000.00","122,998,516.00",32.58,31.88,61.72,73.75,356,111.186
7-May-18,"800,778.00","1,641,802.00","39,050,000.00","27,600,000.00","545,800,000.00","122,978,516.00",32.69,31.97,62.02,73.85,357.38,111.582
8-May-18,"800,778.00","1,721,802.00","39,050,000.00","27,600,000.00","546,850,000.00","123,204,516.00",33.02,32.33,62.51,74.22,360.7,112.556
9-May-18,"800,778.00","1,721,802.00","38,950,000.00","27,550,000.00","552,550,000.00","124,314,516.00",33.2,32.46,63.09,74.31,363.69,113.35
10-May-18,"800,778.00","1,801,802.00","38,950,000.00","27,550,000.00","552,700,000.00","124,360,516.00",33.28,32.52,63.26,74.69,365.32,113.814
11-May-18,"800,778.00","1,801,802.00","38,950,000.00","27,550,000.00","552,600,000.00","124,340,516.00",33.16,32.47,63.06,75.08,363.8,113.514
14-May-18,"800,778.00","1,801,802.00","38,950,000.00","27,550,000.00","552,650,000.00","124,350,516.00",33.15,32.5,63.07,75.59,363.7,113.602
15-May-18,"800,778.00","1,801,802.00","38,950,000.00","27,550,000.00","552,100,000.00","124,240,516.00",33.27,32.66,63.19,75.48,365.04,113.928
16-May-18,"840,778.00","1,801,802.00","38,950,000.00","27,550,000.00","552,500,000.00","124,328,516.00",33.3,32.64,63.09,75.56,365.21,113.96
17-May-18,"840,778.00","1,881,802.00","38,950,000.00","27,550,000.00","552,450,000.00","124,334,516.00",33.27,32.69,63.03,75.57,364.42,113.796
18-May-18,"840,778.00","1,881,802.00","38,950,000.00","27,550,000.00","552,650,000.00","124,374,516.00",33.18,32.65,62.74,75.7,363.44,113.542
21-May-18,"840,778.00","1,881,802.00","38,900,000.00","27,400,000.00","552,900,000.00","124,384,516.00",33.22,32.64,62.72,75.37,364.1,113.61
22-May-18,"840,778.00","1,881,802.00","38,900,000.00","27,400,000.00","553,500,000.00","124,504,516.00",33.03,32.48,62.48,75.01,361.67,112.934
23-May-18,"840,778.00","1,881,802.00","38,900,000.00","27,350,000.00","554,150,000.00","124,624,516.00",33.1,32.5,62.57,75.28,364.58,113.606
24-May-18,"840,778.00","1,881,802.00","38,900,000.00","27,350,000.00","554,600,000.00","124,714,516.00",32.98,32.45,62.14,74.98,363.28,113.166
25-May-18,"840,778.00","1,881,802.00","38,900,000.00","27,150,000.00","555,700,000.00","124,894,516.00",32.89,32.37,62.02,75,362.92,113.04
29-May-18,"840,778.00","1,881,802.00","38,900,000.00","27,150,000.00","555,700,000.00","124,894,516.00",32.6,32.17,61.42,74.52,360.46,112.234
30-May-18,"840,778.00","1,961,802.00","38,900,000.00","27,150,000.00","555,300,000.00","124,830,516.00",32.9,32.18,61.64,74.99,363.24,112.99
31-May-18,"840,778.00","1,961,802.00","38,900,000.00","27,150,000.00","556,150,000.00","125,000,516.00",32.65,31.96,61.37,74.31,360.3,112.118
1-Jun-18,"840,778.00","1,961,802.00","38,900,000.00","27,150,000.00","555,800,000.00","124,930,516.00",32.94,32.23,62.15,75.1,364.53,113.39
4-Jun-18,"840,778.00","1,961,802.00","38,900,000.00","27,150,000.00","553,500,000.00","124,470,516.00",32.74,32.1,61.87,74.49,362.1,112.66
5-Jun-18,"840,778.00","1,961,802.00","38,900,000.00","27,150,000.00","554,350,000.00","124,640,516.00",32.94,32.3,62.12,74.67,364.37,113.28
6-Jun-18,"840,778.00","2,041,802.00","38,900,000.00","27,150,000.00","554,350,000.00","124,656,516.00",32.95,32.26,62.04,74.76,364.44,113.29
7-Jun-18,"840,778.00","2,041,802.00","38,900,000.00","27,150,000.00","554,500,000.00","124,686,516.00",32.95,32.38,62.35,75.01,365.48,113.634
8-Jun-18,"840,778.00","2,041,802.00","38,900,000.00","27,150,000.00","554,850,000.00","124,756,516.00",33.21,32.54,62.58,75.65,368.64,114.524
11-Jun-18,0,0,"38,900,000.00","27,150,000.00","555,150,000.00","124,240,000.00",0,0,62.65,75.7,368.48,101.366
12-Jun-18,"840,778.00","2,121,802.00","38,900,000.00","27,150,000.00","544,800,000.00","122,762,516.00",33.22,32.47,62.59,75.65,369.04,114.594
13-Jun-18,"840,778.00","2,201,802.00","38,900,000.00","27,150,000.00","544,250,000.00","122,668,516.00",33.23,32.48,62.57,75.89,368.41,114.516
14-Jun-18,"840,778.00","2,201,802.00","38,900,000.00","27,100,000.00","544,850,000.00","122,778,516.00",33.51,32.68,63.09,76.77,372.21,115.652
15-Jun-18,"840,778.00","2,201,802.00","38,900,000.00","27,100,000.00","544,450,000.00","122,698,516.00",33.76,32.95,63.33,77.68,375.88,116.72
18-Jun-18,"840,778.00","2,201,802.00","38,900,000.00","27,200,000.00","544,500,000.00","122,728,516.00",33.81,32.96,63.35,77.28,376.83,116.846
19-Jun-18,"840,778.00","2,201,802.00","38,900,000.00","27,200,000.00","545,150,000.00","122,858,516.00",33.88,32.91,62.59,77.15,378.23,116.952
20-Jun-18,"840,778.00","2,201,802.00","38,900,000.00","27,200,000.00","545,350,000.00","122,898,516.00",33.91,32.91,62.69,77.47,378.52,117.1
21-Jun-18,"840,778.00","2,201,802.00","41,250,000.00","27,200,000.00","542,750,000.00","122,848,516.00",33.66,32.7,62.19,77.22,375.98,116.35
22-Jun-18,"840,778.00","2,201,802.00","41,250,000.00","27,200,000.00","542,750,000.00","122,848,516.00",33.65,32.5,62.26,77.26,374.63,116.06
25-Jun-18,"880,778.00","2,201,802.00","41,250,000.00","27,200,000.00","542,750,000.00","122,856,516.00",33.24,32.16,61.42,76.72,370.44,114.796
26-Jun-18,"880,778.00","2,201,802.00","41,250,000.00","27,150,000.00","543,000,000.00","122,896,516.00",33.35,32.21,61.71,76.57,369.87,114.742
27-Jun-18,"880,778.00","2,201,802.00","41,250,000.00","27,150,000.00","543,050,000.00","122,906,516.00",33.1,32.02,61.54,76.11,367.24,114.002
28-Jun-18,"880,778.00","2,201,802.00","41,250,000.00","27,150,000.00","543,100,000.00","122,916,516.00",33.4,32.18,62.05,76.35,371.32,115.06
29-Jun-18,"880,778.00","2,201,802.00","41,250,000.00","27,150,000.00","543,100,000.00","122,916,516.00",33.32,32.11,62.04,76.4,369.51,114.676
2-Jul-18,"882,075.00","2,204,167.00","41,250,000.00","27,150,000.00","543,700,000.00","123,037,248.40",33.02,31.45,62.35,76.9,373.74,115.492
